question,category,time_seconds,followups
"Tell me about a time you had to resolve a conflict between two teams or stakeholders.",Conflict Resolution,120,"What was the hardest part of navigating that situation?|What would you do differently if you faced it again?|How did it affect the working relationship afterward?|What did you learn about yourself from that experience?"
"Describe a situation where you had to influence a decision without having direct authority.",Influencing Without Authority,120,"What resistance did you face and how did you handle it?|What would you have done if they still didn't agree?|How did you build credibility with that group beforehand?"
"Tell me about a time you had to manage competing priorities when everything felt urgent.",Competing Priorities,120,"How did you decide what to deprioritize?|What happened when a stakeholder pushed back on your prioritization?|What would you do differently next time?"
"Describe a cross-functional program you owned end to end.",Cross-Functional Work,150,"What was the hardest dependency to manage?|How did you keep everyone aligned when things changed?|What broke down and how did you recover?"
"Tell me about a time you had to deliver bad news to a senior leader or executive.",Executive Communication,120,"How did you prepare for that conversation?|What was their reaction and how did you handle it?|What did you learn about communicating difficult information?"
"Describe a time you drove a process improvement that had measurable impact.",Process Improvement,150,"How did you identify the problem in the first place?|What resistance did you encounter when implementing the change?|How did you sustain the improvement over time?"
"Tell me about a time you had to make a decision with incomplete or ambiguous information.",Handling Ambiguity,120,"What was the risk you were most worried about?|How did you communicate the uncertainty to stakeholders?|Looking back, was it the right call?"
"Describe a program or project that failed or didn't go as planned.",Failure & Recovery,120,"What early signals did you miss?|What did you do once you realized it was off track?|What would you do differently from the start?"
"Tell me about a time you had to build alignment across multiple teams with different priorities.",Stakeholder Alignment,120,"Who was the hardest stakeholder to bring on board and why?|What tactics worked that you hadn't tried before?|What did you do when alignment broke down mid-program?"
"Describe a time when you had to push back on a request from a senior leader.",Pushing Back,120,"How did you frame your pushback so it was received well?|What happened after you pushed back?|Was there a version of this where you should have pushed back harder?"
"Tell me about a time you had to ramp up quickly in a new domain or unfamiliar area.",Learning Agility,120,"What was your approach to closing the knowledge gap fast?|What did you get wrong during the ramp period?|How did you know when you were ready to contribute independently?"
"Describe a time you led a team through a significant change or transition.",Change Management,150,"How did you handle people who were resistant to the change?|What would you do differently in how you communicated it?|What surprised you about how the team responded?"
"Tell me about a time you had to coordinate across multiple regions or time zones.",Global Coordination,120,"What were the biggest friction points working across regions?|How did you build trust with teams you rarely met in person?|What process or tool made the biggest difference?"
"Describe a situation where you identified a risk early and took action before it became a problem.",Risk Management,120,"How did you convince others the risk was worth addressing proactively?|What would have happened if you hadn't caught it?|What system or habit helped you spot it?"
"Tell me about a time you had to translate complex technical concepts for a non-technical audience.",Technical Communication,120,"How did you know your explanation landed?|What feedback did you get that changed how you communicated it?|What do you do when the technical team and business team fundamentally disagree?"
"Describe your approach to executive-level reporting and stakeholder updates.",Executive Presence,90,"How do you decide what to include versus leave out?|Tell me about a time an executive was unsatisfied with an update — what happened?|How do you handle a question in a briefing you don't know the answer to?"
"Tell me about a time you had to deliver a program under significant resource or timeline constraints.",Delivery Under Constraints,150,"What trade-offs did you make and how did you decide?|How did you keep the team motivated under pressure?|What corners did you cut that came back to haunt you?"
"Describe a time you mentored or developed someone on your team.",Team Development,90,"What was the most important thing you taught them?|What did you learn about yourself as a mentor?|How did you adjust your approach when your first instinct wasn't working?"
"Tell me about the most complex program you have ever managed.",Program Complexity,150,"What made it uniquely hard compared to others?|Where did it almost fall apart and what saved it?|What capability did it build in you that you didn't have before?"
"Why do you want this specific role, and why now?",Motivation & Fit,90,"What about this team's work specifically appeals to you?|What would success look like for you in the first 90 days?|What are you hoping to learn that you can't learn in your current role?"
"Tell me about a time you had to manage a vendor or external partner relationship through a difficult transition.",Vendor Management,120,"How did you maintain service quality during the transition?|What would you do differently in how you structured the relationship?|How did you handle it when the vendor didn't meet expectations?"
"Describe a time you used data to change someone's mind.",Data-Driven Influence,120,"What data were they using to reach a different conclusion?|How did you present the data so it was persuasive rather than just informative?|What happened when the data was inconclusive?"
"Tell me about a time you had to balance short-term operational demands with longer-term strategic work.",Strategic vs Tactical,120,"How did you protect time for strategic work without dropping the ball operationally?|What suffered as a result of that balance?|How has your approach to this changed over time?"]
